Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.22194564,0.26623207,0.8077859,0.68121046,0.46462163,0.6204343,0.5510326,0.4786166,0.73427975,0.42027494,0.66093266,0.50573754,0.30644876,0.6072657,0.5452055,0.52106726,0.54068154,0.39943957,0.32875657,0.27395952,0.45949376,0.20303178,0.60372984,0.13666894,0.23201135,0.5237404,0.6166694,0.6033615,0.37507376,0.55388355,0.39287755,0.55977607,0.4159668,0.3115335,0.37068108,0.25208634,0.22547987,0.63393146,0.13249338,0.45117247,0.7596292,0.3168682,0.5499708,0.3836282,0.3856177,0.4431843,0.7101693,0.74691105,0.4791357,0.35245293,0.616323,0.21654302,0.5656339,0.3197167,0.5061208,0.5159873,0.27223465,0.1972495,0.7407143,0.6151771,0.73137295,0.5105034,0.75851715,0.41078547,0.28750542,0.5977961,0.3570084,0.44764632,0.5756834,0.44987074,0.4825492,0.5231182,0.48104328,0.5870424,0.49431747,0.34267053,0.4838869,0.40339476,0.66326743,0.41658136,0.2617624,0.59687656,0.57777417,0.24147515,0.30736753,0.35438287,0.34204835,0.32548782,0.4619814,0.55350065,0.36320928,0.3785341,0.37592268,0.4826538,0.52987784,0.53922004,0.7577558,0.3968348,0.5226909,0.17578399
A1-A0SJ,0.34284756,0.23983203,0.2553073,0.6830072,0.15652102,0.39216647,0.489798,0.42559418,0.31841198,0.545604,0.84620214,0.32909933,0.35490534,0.39687493,0.37844145,0.4520644,0.68707347,0.56578493,0.21264395,0.19361253,0.3230065,0.8611998,0.7872508,0.3843109,0.25342557,0.59229684,0.4747156,0.52494,0.60565066,0.4838461,0.36934054,0.464451,0.4846066,0.5466653,0.46272498,0.6789721,0.09564647,0.28023237,0.3266532,0.52807087,0.8602909,0.41678315,0.6711901,0.4259592,0.5431637,0.54010415,0.3204429,0.53552926,0.7126945,0.46245602,0.28198233,0.3210816,0.39853343,0.27860293,0.20417392,0.6232672,0.08264326,0.5623954,0.7282797,0.31511533,0.5898401,0.53947,0.60295457,0.29511356,0.36499578,0.5808611,0.28247064,0.50004274,0.5110932,0.61043966,0.39769712,0.5898765,0.7043296,0.35439837,0.33559257,0.51146996,0.88534665,0.64246446,0.3775567,0.23406832,0.12693147,0.7504462,0.45743433,0.47198933,0.81998956,0.7716275,0.20625831,0.59952164,0.24591842,0.43503368,0.5047121,0.18098553,0.5607059,0.649148,0.63193023,0.5089192,0.72649133,0.35871857,0.54900885,0.7184383
A1-A0SK,0.7499039,0.6884955,0.17701954,0.2862683,0.15205555,0.8869157,0.11777782,0.300559,0.6034561,0.23305228,0.119375795,0.59218055,0.82661486,0.15376432,0.8741781,0.26140416,0.59641296,0.88436353,0.5029791,0.552963,0.17528525,0.8022215,0.7843842,0.88993526,0.21479186,0.8660493,0.82223004,0.15313242,0.4055854,0.84560806,0.7967789,0.32777777,0.90132225,0.24134843,0.8666583,0.8420919,0.8178868,0.8033898,0.25429988,0.23586196,0.83543754,0.16311017,0.17212723,0.77848184,0.15220588,0.14088137,0.7336373,0.28321457,0.6076093,0.7557655,0.20834251,0.16093062,0.5566767,0.6930195,0.44870335,0.16752195,0.09142061,0.86558324,0.40098298,0.7328534,0.84082353,0.20501463,0.5616502,0.4754764,0.18564424,0.32685548,0.22231103,0.29479063,0.14992124,0.14129913,0.16178344,0.21727127,0.23420645,0.610446,0.3970993,0.37475413,0.8354928,0.7120248,0.27517843,0.177346,0.060294848,0.7588194,0.31769273,0.17636883,0.3123309,0.2611333,0.87872386,0.7102108,0.52764404,0.26853305,0.61236346,0.86855423,0.124345236,0.52642274,0.40658188,0.63348675,0.13283075,0.12148203,0.46654025,0.1262518
A1-A0SO,0.7490839,0.20334339,0.30504864,0.24113275,0.09917984,0.81511086,0.38147765,0.88162,0.4596143,0.7764741,0.6221516,0.8633234,0.9234181,0.74163675,0.86627805,0.40469748,0.08975658,0.2918643,0.57552093,0.14299832,0.27884045,0.81212956,0.74950004,0.9054604,0.72546464,0.07406635,0.54929465,0.8734245,0.612228,0.457368,0.24153864,0.2557661,0.30323595,0.08483388,0.27028558,0.75832117,0.822949,0.2420421,0.22069435,0.20451333,0.6535137,0.8257054,0.44695643,0.69426936,0.29873866,0.18957277,0.15571335,0.69044274,0.39658186,0.8081649,0.69128704,0.24635535,0.5817226,0.7994241,0.15796001,0.26281944,0.6659178,0.6577413,0.2202148,0.09354147,0.83500046,0.41188183,0.6336599,0.21808577,0.5307034,0.37530398,0.15851192,0.308084,0.6769887,0.44052595,0.7714756,0.7237851,0.12114972,0.7994071,0.16595067,0.57395077,0.49009827,0.9192964,0.23111832,0.09538052,0.25238648,0.1840336,0.7511875,0.8632214,0.5775797,0.118312754,0.8041213,0.7879618,0.526223,0.46439108,0.8431202,0.6304488,0.16208532,0.66972363,0.46888375,0.32985178,0.54331064,0.7872844,0.75743383,0.13752562
A1-A0SQ,0.29400435,0.16925217,0.23364842,0.5443895,0.498531,0.47829732,0.4478913,0.49482688,0.5467068,0.50842655,0.80591846,0.6743846,0.35166994,0.13342369,0.46125695,0.4783935,0.38496304,0.61805654,0.23964316,0.22565575,0.34277016,0.45187995,0.77553874,0.5874888,0.31485307,0.43036768,0.7170543,0.76705384,0.13988684,0.22894113,0.07806135,0.12714739,0.21530172,0.3442174,0.46129993,0.62197304,0.13299869,0.31471172,0.4954208,0.45455378,0.8230904,0.48461398,0.25364903,0.27108854,0.12166061,0.6643071,0.4637938,0.30125308,0.73279077,0.46421304,0.3931008,0.2807799,0.19481213,0.30351433,0.17760362,0.48459277,0.42411715,0.53168434,0.19221199,0.38250425,0.80492544,0.6606496,0.32988626,0.6623933,0.118498296,0.7753405,0.091463715,0.14923517,0.68313134,0.45325765,0.3017533,0.7328814,0.36935818,0.3117646,0.2944276,0.37723523,0.6601019,0.48313326,0.57585067,0.545365,0.63319623,0.80879337,0.2911665,0.39807057,0.60304976,0.7108412,0.23100245,0.50216585,0.2343576,0.8093036,0.8420204,0.5817008,0.24267301,0.5376196,0.8967554,0.7862687,0.79476714,0.31874606,0.43282735,0.55860364
A2-A04N,0.5561923,0.4634596,0.6900155,0.31842896,0.6330812,0.42015243,0.4782742,0.32138708,0.46642584,0.5858527,0.5163533,0.7200088,0.57037973,0.4643942,0.24709912,0.6971204,0.47432327,0.669692,0.40244064,0.37950683,0.5165995,0.30014646,0.70447683,0.6028512,0.46306828,0.4313963,0.35492158,0.359674,0.5407424,0.5050467,0.47853884,0.6845487,0.6286732,0.67100686,0.3471883,0.48114493,0.337539,0.68089366,0.21810457,0.61706257,0.6718169,0.35983554,0.45044178,0.44190228,0.703366,0.54272664,0.6942135,0.5955513,0.7518587,0.114972085,0.64762205,0.2904827,0.5570383,0.5109173,0.6685473,0.56270653,0.29787332,0.3035613,0.76592827,0.47966927,0.4244127,0.34319466,0.697451,0.60859597,0.5344063,0.22987269,0.22464725,0.63330185,0.41707563,0.4304365,0.39573723,0.27320203,0.44477454,0.3193088,0.47883436,0.5263292,0.6192073,0.6578771,0.4018722,0.60799164,0.19093935,0.28453088,0.5850447,0.44209307,0.75457984,0.5610873,0.5690026,0.21978746,0.5819075,0.38186795,0.50405836,0.19278237,0.39245823,0.42932084,0.1867146,0.41520724,0.4307642,0.6072861,0.30988923,0.20499727
A2-A04P,0.46083555,0.5393266,0.1258275,0.8318986,0.7404505,0.11679706,0.79010373,0.07416522,0.22938803,0.8600049,0.4559449,0.87680835,0.39875746,0.47336644,0.76067376,0.1743791,0.3172009,0.5252045,0.263066,0.7352113,0.15340321,0.12925974,0.73437047,0.11245515,0.879381,0.3739011,0.15849824,0.73463535,0.20594335,0.46473563,0.89499897,0.34126008,0.8537475,0.1507678,0.5537337,0.14894706,0.90951866,0.32590267,0.3362225,0.65531075,0.67465514,0.31478906,0.70855737,0.26735103,0.6195912,0.34657344,0.8670593,0.7460957,0.5870042,0.78973514,0.34403363,0.367343,0.8219069,0.46314156,0.7985401,0.20435192,0.62360424,0.4734589,0.49529603,0.80152285,0.8809142,0.3946373,0.7472546,0.27004808,0.2643929,0.15211971,0.81251836,0.22733425,0.10043811,0.46514457,0.51271874,0.43005252,0.5023099,0.840719,0.23940533,0.66134167,0.6818263,0.44992375,0.22442402,0.3194402,0.6282478,0.2741809,0.37513962,0.6139129,0.18138495,0.85830635,0.18511778,0.5121527,0.43417135,0.42787337,0.5417934,0.26240194,0.7417364,0.5554917,0.6702668,0.18289474,0.13754117,0.12940083,0.6248039,0.105648525
A2-A04Q,0.36954826,0.6302235,0.5938686,0.35986066,0.34601617,0.48216206,0.646127,0.29611045,0.4588652,0.20552005,0.6144866,0.31715596,0.21355587,0.82714176,0.40252936,0.46699682,0.5363088,0.38800696,0.43584922,0.6553414,0.63677436,0.29551774,0.5725625,0.1872925,0.5537253,0.47270837,0.41254434,0.639567,0.59727335,0.6981671,0.400601,0.5704708,0.49246323,0.652116,0.6195448,0.24861293,0.5517011,0.41021314,0.50626266,0.2963592,0.61799675,0.56536573,0.6032547,0.5477887,0.7295572,0.8546721,0.25057694,0.50467813,0.3828518,0.5931431,0.4868511,0.5275009,0.5636736,0.6430859,0.6174118,0.2636414,0.37599155,0.3950686,0.34419668,0.4174192,0.73269427,0.28491157,0.54568654,0.58833444,0.6616401,0.3338068,0.75730306,0.41320583,0.3524842,0.6982074,0.5798703,0.42426613,0.09195766,0.6246936,0.5147805,0.1475638,0.7171457,0.27873504,0.66898024,0.23288254,0.5185264,0.26998496,0.25606632,0.6144445,0.621432,0.41758534,0.35275802,0.6342273,0.4416332,0.41041297,0.4431328,0.38302055,0.7256416,0.58011764,0.45395786,0.60653657,0.55758023,0.44961697,0.20943029,0.5811199
A2-A04T,0.7790552,0.27710095,0.16721626,0.6276285,0.19719087,0.49867174,0.61890626,0.8668706,0.61615556,0.5044176,0.47255972,0.106165335,0.23198394,0.5902888,0.88071316,0.47436982,0.27768517,0.46670157,0.5980123,0.39987996,0.6570653,0.41778758,0.85015815,0.28370517,0.16548762,0.25302547,0.3776675,0.14076808,0.766133,0.66233593,0.6128114,0.33639684,0.6937291,0.8531319,0.5702713,0.4156092,0.8912675,0.4858349,0.34252986,0.7185732,0.8439245,0.22303857,0.1031546,0.8402777,0.33195537,0.3263997,0.6030944,0.14597061,0.16525121,0.70141894,0.33436933,0.36500013,0.24261773,0.6865923,0.50655884,0.25812885,0.3501834,0.64351577,0.25116938,0.5381729,0.7737795,0.4323752,0.40257305,0.25649557,0.46069857,0.24091585,0.14356928,0.42310685,0.37248307,0.4759265,0.808962,0.2811067,0.46388808,0.69778115,0.47026744,0.78829545,0.5695518,0.42483366,0.6686794,0.14478876,0.4814843,0.48856056,0.8158144,0.45911965,0.26187125,0.68457407,0.60183704,0.47789,0.11580006,0.72917676,0.27460662,0.31887704,0.11365844,0.81489176,0.35082316,0.4272965,0.13348834,0.37130517,0.4231018,0.20653133
A2-A04W,0.1538955,0.52739537,0.5948931,0.6416719,0.48960066,0.18011823,0.5922266,0.45081633,0.5412431,0.378286,0.19837599,0.82189316,0.629416,0.3521619,0.81365514,0.3922868,0.84133905,0.82750314,0.4157492,0.6248601,0.4203,0.33371046,0.722266,0.36060223,0.32519758,0.21320754,0.29651543,0.64581496,0.3515249,0.45358872,0.27408552,0.27817303,0.74714875,0.582127,0.30474675,0.6058825,0.6160056,0.37448287,0.5590586,0.5650231,0.77303857,0.23446809,0.38690904,0.3179132,0.2992798,0.49597642,0.4937575,0.522213,0.6569018,0.38986295,0.33463907,0.3913257,0.65105927,0.3973519,0.39418903,0.80936867,0.55019516,0.5346706,0.77688915,0.586466,0.08725229,0.15080154,0.7851554,0.4235389,0.28486955,0.23256156,0.32729197,0.46368235,0.46121004,0.71706134,0.48746672,0.39122185,0.33284938,0.49762794,0.32359987,0.47647503,0.5925403,0.73498183,0.24753805,0.21177484,0.6241924,0.30048048,0.3049034,0.7797652,0.8828585,0.50468266,0.23307656,0.31716174,0.35724065,0.44138777,0.5369896,0.1064429,0.22424857,0.10346507,0.4058876,0.57018936,0.61562914,0.54424894,0.23058172,0.6012237
