Sample,predict_label
A1-A0SF,0
A1-A0SJ,0
A1-A0SK,2
A1-A0SO,2
A1-A0SQ,0
A2-A04N,0
A2-A04P,2
A2-A04Q,2
A2-A04T,2
A2-A04W,3
A2-A0CM,2
A2-A0CP,0
A2-A0CS,0
A2-A0CX,3
A2-A0D0,2
A2-A0D2,2
A2-A0D3,0
A2-A0EO,0
A2-A0ES,0
A2-A0EU,0
A2-A0EV,0
A2-A0EW,0
A2-A0EX,0
A2-A0ST,2
A2-A0SX,2
A2-A0T0,2
A2-A0T1,3
A2-A0T2,2
A2-A0T3,0
A2-A0T5,0
A2-A0T6,0
A2-A0T7,0
A2-A0YC,0
A2-A0YD,0
A2-A0YE,2
A2-A0YF,0
A2-A0YI,0
A2-A0YJ,2
A2-A0YL,0
A2-A0YM,2
A2-A0YT,1
A2-A1FV,0
A2-A1FW,1
A2-A1FX,0
A2-A1FZ,0
A2-A1G0,0
A2-A1G1,2
A2-A1G4,0
A2-A259,0
A2-A25B,1
A2-A25C,0
A2-A25D,1
A2-A25E,1
A2-A25F,2
A2-A3KC,0
A2-A3KD,0
A7-A0CD,0
A7-A0CE,2
A7-A0CG,0
A7-A0CH,0
A7-A0D9,0
A7-A0DA,2
A7-A0DB,0
A7-A0DC,0
A7-A13D,2
A7-A13E,2
A7-A26E,0
A7-A26G,2
