,A1-A0SF,A1-A0SJ,A1-A0SK,A1-A0SO,A1-A0SQ,A2-A04N,A2-A04P,A2-A04Q,A2-A04T,A2-A04W,A2-A0CM,A2-A0CP,A2-A0CS,A2-A0CX,A2-A0D0,A2-A0D2,A2-A0D3,A2-A0EO,A2-A0ES,A2-A0EU,A2-A0EV,A2-A0EW,A2-A0EX,A2-A0ST,A2-A0SX,A2-A0T0,A2-A0T1,A2-A0T2,A2-A0T3,A2-A0T5,A2-A0T6,A2-A0T7,A2-A0YC,A2-A0YD,A2-A0YE,A2-A0YF,A2-A0YI,A2-A0YJ,A2-A0YL,A2-A0YM,A2-A0YT,A2-A1FV,A2-A1FW,A2-A1FX,A2-A1FZ,A2-A1G0,A2-A1G1,A2-A1G4,A2-A259,A2-A25B,A2-A25C,A2-A25D,A2-A25E,A2-A25F,A2-A3KC,A2-A3KD,A7-A0CD,A7-A0CE,A7-A0CG,A7-A0CH,A7-A0D9,A7-A0DA,A7-A0DB,A7-A0DC,A7-A13D,A7-A13E,A7-A26E,A7-A26G
A1-A0SF,0.5742701393629628,0.015736247903481854,0.011309625516543183,0.011540940650415474,0.015938875286248162,0.01599790934792316,0.012184175647628673,0.013345504755826968,0.0117072285762401,0.013486715980070781,0.012378256796817835,0.015707001155733022,0.016173835997481747,0.014496244886219721,0.011426741156831247,0.011636383294656404,0.016380355064004957,0.016350196789880946,0.015174135068311157,0.014728009534629397,0.014566405261225105,0.014715088199902193,0.016107802973869108,0.013011864304953755,0.012356230402248867,0.012361052631028373,0.01408845589125848,0.01219005106229413,0.013848346231389207,0.016659945328763318,0.014919318614342895,0.0150346377113018,0.013989754291530963,0.015601290313732866,0.01208856221863846,0.013513678421376813,0.014068193129147304,0.011598545364420641,0.01522091628483365,0.011451910172339928,0.013846954350168944,0.014607607001671474,0.013385921786492939,0.014182005132654671,0.014941499362415022,0.01569847472231138,0.012668878749184743,0.01430916787646575,0.014028596581990158,0.014345499822807643,0.013619886873310085,0.014661162639903105,0.014174563218310218,0.01365816458540502,0.01621506961989233,0.015684741674112764,0.01560347270660576,0.011525452085295623,0.014503858364282491,0.01594056777783829,0.013759276650054914,0.012907579480791163,0.01572152792982722,0.014166363312559903,0.011858482124596434,0.012024581086000938,0.01489908494742772,0.013075948983434164
A1-A0SJ,0.015736247903481854,0.5800612616147669,0.011605081179402829,0.011148904961636376,0.016818347274533144,0.014411588020052355,0.011286581732845115,0.012766136584026075,0.010938960067073176,0.01313274922980149,0.011299697399166213,0.014865800273350875,0.014344123670566393,0.012793583403947706,0.01168189558632227,0.011371312708791707,0.014483114408979259,0.015360459747096312,0.015274043730878217,0.01494237115403678,0.01522944429916662,0.014694440239930051,0.015717976820080592,0.012601745288940694,0.011551216079461104,0.01127818564855671,0.012914104775831256,0.011446561496934949,0.014998475636369335,0.015174386039312433,0.014585874468386575,0.015254652038429182,0.014343548193583376,0.014418314645146372,0.011243302028385001,0.01369986371681474,0.014166152481540805,0.01108974499600805,0.015328053627280423,0.011085841514107346,0.016595857988085265,0.015543980431970151,0.015118392706671785,0.015153081508022683,0.013891538859575586,0.0159393807551956,0.012495342103945331,0.015105399671124908,0.014866809659160637,0.014442248908744602,0.013921628365740991,0.014768809259823046,0.015127686680264684,0.01299616556132073,0.01555492982475056,0.01498378259415313,0.015221481293820543,0.01130029689647936,0.014553266034790072,0.0144202572342983,0.015648562786058168,0.011466592383659976,0.014761553019056177,0.01592521830026488,0.011342919720224783,0.011261928221997803,0.014252316037274126,0.013273180446574639
A1-A0SK,0.011309625516543183,0.011605081179402829,0.6043981584469035,0.019028211702725145,0.011296279967586278,0.011168578872985849,0.015308277782926037,0.012837950160060185,0.019403723333642334,0.013208317391350526,0.015852238418150737,0.011304206592342332,0.01121770774495031,0.01323669938487549,0.017435437488889094,0.017484947601615314,0.011168671200420687,0.011081823324927822,0.011019346610290841,0.01113086656396575,0.010971760763363255,0.010812867405470104,0.011109783187124345,0.01424252450353149,0.0161896630504264,0.015527060352232159,0.01312904495971506,0.015984879482073933,0.011965831714006527,0.011177322544626157,0.010891716260570467,0.01135205699990375,0.011177565261653245,0.011000977099611307,0.01602566723469446,0.011388783001021831,0.01095290339758508,0.016031176924677457,0.010799506901491214,0.018694492400184674,0.012264962602118519,0.01144007526298237,0.011920483322577596,0.011364083419694946,0.011124740645467628,0.010879459814267321,0.013095874187673636,0.01129658228686059,0.011004752316461258,0.012423676488955808,0.012105139250794896,0.012227882108311224,0.01228210516855796,0.013085361083624066,0.010774217299143372,0.011094926866922903,0.010969689352352936,0.017510233198479448,0.01093621986120633,0.010974102478287855,0.012127157720524622,0.015508586689426547,0.010982097884813479,0.011690745413625244,0.015805041848016357,0.01920545369843648,0.01120476856857067,0.013102763777610372
A1-A0SO,0.011540940650415474,0.011148904961636376,0.019028211702725145,0.5893989429247898,0.011413706680841997,0.011389420121824034,0.016952467898711875,0.013090362330531883,0.019213391142287962,0.01406452110833829,0.01709985499099833,0.01151041093445232,0.011644812554405649,0.015021693658167704,0.01757256280851333,0.017051650253671294,0.01159069233725648,0.011446578635608193,0.011134904101326254,0.011287208255663142,0.011276767213489722,0.010865564401813355,0.011164322467137007,0.01395295373383773,0.01644549478561578,0.01843019716494071,0.014625312455819935,0.017777597873916758,0.012802422565714153,0.01181219502373351,0.011055329453431255,0.011590503084995953,0.011316101099019277,0.01126921528059581,0.018480463238373546,0.011674510295801509,0.011089780004997976,0.018112197599084195,0.010898545212665764,0.01886231448685078,0.011605313508093396,0.011089857546252534,0.011903901137791344,0.011517757474715229,0.011272086536580284,0.01104642607043101,0.013813932520887369,0.011373034565036192,0.011093329665555693,0.013779357961129893,0.011509679730587398,0.012520068062758922,0.012299743026054612,0.013787796306175899,0.010887516333367084,0.011247120642768196,0.011186393906893017,0.019136187677407643,0.01119450350955125,0.011272434129293102,0.011264136677618056,0.017365866127496563,0.011196961429183139,0.01106991761469395,0.016641464512027127,0.01799652751884047,0.011347448271346778,0.013416577385091007
A1-A0SQ,0.015938875286248162,0.016818347274533144,0.011296279967586278,0.011413706680841997,0.5805776951273703,0.014402129971578904,0.011426053076016279,0.012906422077735812,0.011032657071572853,0.0131391608145607,0.011432787319296204,0.014292286091841976,0.015324720194030809,0.012904403746467731,0.011222635410322025,0.011281662795475402,0.01532507510315289,0.01515430321911943,0.014474094652130488,0.014624230569134134,0.014456657295118703,0.01398074350682545,0.014573968532223449,0.01310956199216115,0.011751214693079246,0.011458213542139079,0.013164998283380271,0.012032309086534186,0.014672210876213981,0.01554477419787963,0.01432216567177527,0.013924550431386034,0.014313680692072676,0.014761192221214034,0.01134619795208424,0.014391351456116603,0.013855120048078751,0.011184283453761386,0.014142488046073834,0.011135903223748491,0.014916563433928226,0.015287145954747346,0.015047130655243894,0.015515326770238837,0.01382568256932145,0.016750781907140008,0.012635916387437027,0.01691636792753009,0.013815005826833726,0.014824746369082625,0.013861375890677072,0.014432206112594815,0.014487244756428708,0.013129619571830885,0.014858546662096711,0.016303118064142173,0.016217761083348367,0.01126339970700351,0.014348237696422437,0.01541510292878142,0.014308954992493919,0.011726080104081672,0.014803777460813773,0.015655053828794473,0.011914469081067004,0.011887343432125691,0.01441019540241676,0.012474705188793993
A2-A04N,0.01599790934792316,0.014411588020052355,0.011168578872985849,0.011389420121824034,0.014402129971578904,0.5631537448518527,0.011810921153132987,0.013862710247060811,0.011394627605044512,0.014437668941693006,0.011823404666476143,0.017966208555355054,0.016883209100424748,0.013304386530195885,0.01157047867290267,0.012153462556383294,0.016394957239080073,0.01675711984947427,0.016193388083924145,0.016600202176450553,0.015286191239347324,0.015166037057154594,0.016248476516237214,0.014317857007368633,0.012203914807401586,0.011764269129579726,0.013386617714255405,0.012010675805874923,0.014047011508842954,0.01648534904754003,0.01631587757687073,0.014735857273903271,0.015038015784864184,0.016711461047572245,0.01182917631738368,0.013921852638750324,0.014441579747276192,0.011594852277826358,0.015417158969005272,0.01147262478865165,0.013500773000274571,0.014229851914323653,0.01319880237149695,0.01451866069060993,0.015128870866804735,0.015273819571193684,0.013064934310038911,0.014113714448381103,0.015340194928076,0.013377005948492483,0.014038135722728273,0.013917242971462213,0.014293072304252474,0.01475075442054986,0.016326874540428485,0.01619792183726952,0.016146418468863655,0.011429308330923678,0.015184195741118622,0.01650674528017921,0.014123042884846355,0.012468205019666102,0.01650016228817694,0.013974091832576797,0.011893928890318744,0.011681729667918184,0.016115128177035386,0.01352993742347584
A2-A04P,0.012184175647628673,0.011286581732845115,0.015308277782926037,0.016952467898711875,0.011426053076016279,0.011810921153132987,0.5916928587290782,0.014356610536115632,0.01836255693785029,0.015794713454377295,0.0176046629439002,0.012623206794814476,0.012136337302791032,0.015183864873326416,0.0182449565201939,0.017004473230353236,0.01189494914237969,0.011800772340542056,0.011419409429490789,0.011458118922243566,0.011269389176429265,0.011078461328793233,0.011559014238870721,0.014339403035891748,0.016046123283218652,0.01926072827266225,0.015594961548883596,0.0191444696743652,0.011653006541693458,0.012194779072930432,0.011312700574887952,0.012016450209994433,0.011448743767094129,0.011555940853521313,0.01757387334402192,0.011576700064731922,0.011354571101796263,0.0168501577123686,0.011138937854359371,0.01625684542439778,0.011561449050591699,0.011128017725339064,0.011935299213175756,0.011737425561743491,0.011610427709338487,0.011313277265039046,0.013132969420478037,0.011094091790225372,0.011287321615883104,0.01246822277948847,0.011443155446758637,0.013962020233220924,0.011738356853972875,0.013330701956916498,0.011189919276925944,0.011551142832132578,0.011458084758975695,0.018660056746211587,0.011275575096002445,0.011564143474279833,0.011285779551189857,0.01733327939507011,0.011507480093105215,0.01111838544371598,0.016046190330431545,0.01593215360654077,0.011521012902259702,0.01310541031567325
A2-A04Q,0.013345504755826968,0.012766136584026075,0.012837950160060185,0.013090362330531883,0.012906422077735812,0.013862710247060811,0.014356610536115632,0.572214409334799,0.014244175558466413,0.013677420635501026,0.01462656940322972,0.014168450875667366,0.01379533307105572,0.013684507090321468,0.014294920201618676,0.01515942283521571,0.013656946959040243,0.01368329170901671,0.014158021516699381,0.014347826838570214,0.012931456088430035,0.013311172190304109,0.01405059493812496,0.016148714401460616,0.014730487673134299,0.013980766887797078,0.01447382649122246,0.014000972064540998,0.014998058684070517,0.01368295071672282,0.013647906403215365,0.01286598288393357,0.01563395608615577,0.013669685708736494,0.013610835386338444,0.015616000467906593,0.012953493097329589,0.013345191735354058,0.013188157852577287,0.013870949301089399,0.012726907363718409,0.012735379371523681,0.012416932702533731,0.01288458569297217,0.015993101014158028,0.012951676713278279,0.01593487366485069,0.012764718335930656,0.014421432218848246,0.012787830643359553,0.013026905992725334,0.014044459989896113,0.012928047403500724,0.014910107035573137,0.01316784573032153,0.014010105586693517,0.013666510482374331,0.013792463912368911,0.013166930587484773,0.013687053523361768,0.014201125813440987,0.013955017626323084,0.01367644968098,0.012608354151957024,0.014433827966394717,0.013106056301707693,0.014310224227820644,0.013919189637627493
A2-A04T,0.0117072285762401,0.010938960067073176,0.019403723333642334,0.019213391142287962,0.011032657071572853,0.011394627605044512,0.01836255693785029,0.014244175558466413,0.5838354183736739,0.014693450873095242,0.018772230898984624,0.011552758005151412,0.01151096764993571,0.014874306746950547,0.019271873491277357,0.019436047356792968,0.01138859665412663,0.011297400711101106,0.011087246598421127,0.011171366269918563,0.0109974554450913,0.010782992909069793,0.011067801202732847,0.015560720514018623,0.017544040218714693,0.018236362171766666,0.014240433594225338,0.01822083095792886,0.011602426432887416,0.011398663472008767,0.01099728746161716,0.011407780845645712,0.011224601793419168,0.011179021438669445,0.01813553519429737,0.011429418144198653,0.011182426728889404,0.01862274050728549,0.010812190667614541,0.019474000936831305,0.01176503588288664,0.010841263241191616,0.01136761399663621,0.011196974021149175,0.011290093192334259,0.010850406840841112,0.01456434567348035,0.010794941454409596,0.011092563714053379,0.01265799043496036,0.011311831425502402,0.012562025586206817,0.011622722737131906,0.01423302921639744,0.010797694263824157,0.011197701077720413,0.011047584054165529,0.019524442180481993,0.01116066738130761,0.011134496661282692,0.011075004153767222,0.01797848603424535,0.01111730503352518,0.010830863868151248,0.01715570376794881,0.018258330990447914,0.011248260427774295,0.014031284537593901
A2-A04W,0.013486715980070781,0.01313274922980149,0.013208317391350526,0.01406452110833829,0.0131391608145607,0.014437668941693006,0.015794713454377295,0.013677420635501026,0.014693450873095242,0.5820107793849787,0.0145793785283121,0.015050828636459212,0.01404348440947284,0.016890568610077518,0.015803448457249205,0.015406773550465533,0.013253004151776732,0.013553671719399248,0.013327542732201877,0.012956675763364008,0.012555424747295037,0.012483311511507549,0.013448916265115013,0.01430325261737771,0.014127759509428038,0.015384576981972955,0.0173479325165452,0.016253835076137826,0.012506294662157663,0.013451704445910359,0.012877378162388648,0.012665501687289889,0.012551378056189465,0.013127926130656567,0.016079830688358984,0.012357810341427578,0.012331861812553805,0.015323842859218065,0.012549762006334016,0.013743384361139904,0.012414490545965471,0.012284577217520382,0.012567576142063799,0.012393578697998193,0.012675346067505361,0.012585852860088627,0.013131817425388577,0.012215314959102799,0.01265200725606077,0.0131222963746528,0.012360878102770265,0.013783086916109723,0.012532669861760558,0.014060520286060162,0.012800658855911477,0.01395097597601928,0.01298065199211601,0.014237959187260103,0.012738919541613337,0.013117284754520524,0.012730307582486102,0.01560719974880212,0.013404327963472745,0.012216302190957656,0.014989762414473688,0.013514123894900441,0.013005339791821585,0.013175886137300002
