Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.51418704,0.41953555,0.69344634,0.2715428,0.52909076,0.49684358,0.65432274,0.75855833,0.38555127,0.37374404,0.40766835,0.51934665,0.32030213,0.7979288,0.5324659,0.4583602,0.62139195,0.561853,0.66738576,0.61507595,0.68295705,0.54387,0.5309776,0.44870767,0.63323015,0.6893389,0.69078517,0.6879115,0.5389943,0.771152,0.4549846,0.6744262,0.37249038,0.5371498,0.5709568,0.6062921,0.69287425,0.38722447,0.6415757,0.50649625,0.47416794,0.4436862,0.8214762,0.5154723,0.31375805,0.28270596,0.26733556,0.79083264,0.7066365,0.6293809,0.28189868,0.6414417,0.4980054,0.44556195,0.6705959,0.32478994,0.49903747,0.541703,0.5942106,0.7009122,0.51047,0.763176,0.7312547,0.63373053,0.56512445,0.42392045,0.50673914,0.35488766,0.49971378,0.36584422,0.62164664,0.34923017,0.48972672,0.57490516,0.5903866,0.4914098,0.47207475,0.847251,0.7260523,0.68194544,0.42632526,0.6426517,0.30721366,0.37577245,0.7814173,0.67172766,0.8601839,0.574672,0.6074875,0.52822816,0.72305685,0.627481,0.47676656,0.402618,0.2655528,0.39144588,0.5616522,0.63529,0.6814822,0.59078455
A1-A0SJ,0.23560949,0.790708,0.526229,0.20350896,0.34346932,0.55052674,0.38164508,0.52136326,0.6046679,0.56707776,0.76081395,0.64354396,0.8497765,0.667288,0.6466816,0.5324754,0.61072004,0.57620054,0.6578906,0.5343172,0.45538262,0.2747182,0.5267403,0.31524232,0.5688802,0.5637182,0.7415409,0.65445334,0.7717228,0.60952973,0.5502514,0.6808879,0.6776819,0.52467746,0.33702263,0.41763443,0.44244424,0.6440521,0.29117438,0.57255995,0.49996364,0.6225351,0.8987234,0.7860801,0.5918342,0.65371996,0.77153456,0.51765656,0.49030313,0.2340396,0.73583925,0.7302755,0.21289678,0.5456854,0.74257857,0.6277519,0.41686383,0.61800945,0.29981583,0.59705406,0.5894218,0.52815664,0.55481637,0.32151356,0.39296532,0.5403496,0.53064275,0.52348614,0.6357256,0.38545632,0.61618775,0.5537367,0.5850483,0.45395336,0.6317141,0.31876397,0.35971892,0.7507207,0.76296806,0.34462774,0.34644753,0.5432788,0.6224478,0.56593424,0.68776405,0.35773116,0.49288434,0.68186164,0.48372614,0.7412289,0.4727066,0.46473047,0.40316796,0.41115743,0.7758156,0.3431564,0.78464556,0.31465703,0.5418514,0.43639854
A1-A0SK,0.89000905,0.5641041,0.08269593,0.6085621,0.15438996,0.3930893,0.8670392,0.76332796,0.7411506,0.9171859,0.23142675,0.38841033,0.8065626,0.2636311,0.33111572,0.30351278,0.76875126,0.22849888,0.45780906,0.583814,0.2885748,0.22636154,0.605471,0.37892404,0.8834703,0.8723564,0.5293343,0.6912749,0.42968774,0.18432552,0.9185616,0.14332463,0.5759251,0.8994539,0.12555563,0.68747663,0.5712928,0.8713491,0.26848623,0.6933481,0.28454667,0.68338895,0.70197356,0.33468115,0.83159566,0.6731977,0.9411909,0.47919023,0.6370714,0.30429864,0.61754674,0.37355042,0.2829213,0.28986573,0.4631623,0.15550406,0.54594314,0.31533137,0.17025805,0.77725315,0.8861351,0.31966165,0.51424277,0.28503785,0.18975183,0.7498099,0.9433543,0.8799679,0.18661708,0.22737424,0.2799133,0.51063955,0.22270663,0.47847372,0.7266195,0.81683314,0.593172,0.8649641,0.70653296,0.34215152,0.931249,0.72017443,0.4141863,0.14166677,0.81658214,0.90000737,0.6126096,0.7461821,0.7363316,0.62304443,0.55631816,0.19079737,0.53700376,0.6439666,0.82497096,0.6255146,0.5582832,0.47128147,0.55530775,0.755509
A1-A0SO,0.8290878,0.485709,0.11738758,0.5673318,0.397816,0.20931378,0.66621935,0.8163339,0.7687757,0.95061654,0.14875314,0.51213884,0.5024476,0.52555925,0.2237711,0.37040225,0.675974,0.47205222,0.27464682,0.3078219,0.20633128,0.42258707,0.2369535,0.4631035,0.92156625,0.89886796,0.26639366,0.29631352,0.1614074,0.27053756,0.84752333,0.22359923,0.5913886,0.5541586,0.10240627,0.6528931,0.43427527,0.899047,0.7493565,0.54681647,0.61766547,0.7769262,0.60285497,0.22211094,0.9385558,0.6702925,0.9229027,0.48459142,0.41130817,0.5550538,0.4529121,0.67626023,0.5507462,0.30518967,0.38582075,0.5264411,0.6498515,0.22883838,0.22755894,0.62988275,0.9079859,0.18316954,0.33809236,0.24896497,0.55963784,0.9197743,0.64013886,0.8465941,0.39541712,0.50898933,0.27392483,0.19199091,0.19128643,0.41038847,0.8606335,0.5842136,0.8211889,0.81852245,0.26685867,0.3172416,0.9180693,0.8689357,0.7454287,0.22187439,0.8706343,0.903228,0.47956935,0.5963758,0.5214182,0.5640454,0.72870696,0.21550706,0.23500672,0.53785795,0.76844233,0.577379,0.31842393,0.88198406,0.26404747,0.70846236
A1-A0SQ,0.34163702,0.73243487,0.75638026,0.31248012,0.5888045,0.4416589,0.32009092,0.8920435,0.92393076,0.30084485,0.39382112,0.6595317,0.40241712,0.7453759,0.58082867,0.20645496,0.24666813,0.5288626,0.53324676,0.5693699,0.33707342,0.42728883,0.3345256,0.17019886,0.6068659,0.64540946,0.50922096,0.76027,0.74921954,0.7979665,0.80669796,0.76975995,0.6423099,0.70631176,0.6843093,0.46208888,0.40353152,0.39931962,0.5632059,0.62340707,0.20403486,0.71197814,0.49179184,0.6107229,0.444606,0.36656883,0.61225337,0.54031014,0.5472929,0.20282328,0.5055745,0.34431058,0.26126996,0.457964,0.6812682,0.2644944,0.6990386,0.3904968,0.58916104,0.5406831,0.6568227,0.4147761,0.659646,0.2806076,0.7066252,0.7767137,0.24309987,0.3798378,0.6267371,0.75867915,0.85119283,0.4031128,0.46024072,0.76138604,0.7664162,0.46688887,0.33328828,0.8189694,0.7790502,0.3628871,0.6810691,0.535083,0.4378939,0.58044344,0.34503716,0.5956428,0.7694327,0.68000007,0.7018819,0.5711556,0.47170806,0.5318335,0.33483607,0.44192255,0.45360345,0.40363306,0.71387994,0.33206064,0.6965608,0.23646244
A2-A04N,0.5653842,0.55609524,0.72965074,0.5058277,0.40239257,0.6487806,0.51948285,0.36970037,0.24591573,0.47243834,0.81527257,0.29663387,0.48499626,0.7622318,0.5589552,0.6116999,0.68782765,0.3798266,0.6289017,0.62078714,0.72427505,0.7196896,0.52883095,0.7952874,0.44688106,0.55008227,0.81090575,0.78225404,0.64714354,0.6578517,0.19776326,0.5512838,0.28854308,0.36624634,0.49358416,0.5129366,0.89080924,0.7130459,0.49450022,0.60054135,0.5929143,0.61639863,0.80725145,0.7022625,0.32321465,0.62429285,0.28791294,0.42977107,0.7462484,0.56192064,0.7044321,0.78871393,0.63024193,0.7369156,0.47146648,0.4843172,0.35514867,0.5377663,0.50249517,0.7365143,0.44592887,0.79391253,0.57624835,0.58069277,0.47961926,0.2956702,0.8113314,0.5548404,0.66401756,0.2513581,0.49669975,0.45095414,0.34942922,0.4932901,0.36763164,0.27381814,0.58131325,0.6796891,0.66323316,0.7570412,0.25645253,0.6888938,0.66945523,0.48301739,0.45877898,0.3717155,0.700191,0.40886334,0.50841963,0.47820953,0.48965472,0.5502471,0.5456287,0.3943711,0.2887269,0.19487888,0.71110415,0.5325039,0.7252165,0.43215573
A2-A04P,0.5861436,0.7598913,0.5659076,0.57141536,0.34254977,0.43078613,0.5734966,0.6322416,0.34932578,0.45696005,0.37501904,0.81116813,0.629603,0.61033154,0.16076611,0.4607739,0.7848299,0.7401495,0.3744195,0.23691928,0.7764945,0.19113621,0.34575036,0.6548679,0.6810007,0.76240456,0.5898444,0.2573486,0.22847012,0.49336693,0.7523597,0.27948794,0.13773523,0.34220904,0.5015072,0.25130612,0.40142342,0.3854375,0.8077594,0.7323352,0.34734255,0.6150593,0.37891734,0.3431113,0.70695484,0.72271085,0.44204473,0.8250554,0.10585568,0.79304177,0.37095794,0.53354776,0.702048,0.23525779,0.3094163,0.7939135,0.23161617,0.35519448,0.45957062,0.7080771,0.6820964,0.5299257,0.5114538,0.55260926,0.62611514,0.677366,0.30556446,0.5502726,0.16226563,0.1520389,0.3212621,0.21833213,0.5629721,0.2907918,0.78764373,0.34991908,0.5975882,0.41969103,0.16935275,0.81514335,0.32100463,0.6852083,0.6507112,0.3175592,0.87439984,0.52732396,0.77064747,0.8429578,0.38097793,0.7319895,0.85674566,0.43761963,0.3718347,0.5597092,0.65012807,0.40580595,0.44473416,0.78288627,0.23014352,0.8902701
A2-A04Q,0.60940236,0.7976725,0.7634859,0.64446706,0.47136182,0.5869962,0.71890575,0.7011223,0.6500814,0.31266707,0.46806216,0.852662,0.6685289,0.512492,0.2753905,0.7584039,0.73953235,0.47055325,0.57728124,0.40934637,0.8748772,0.57995653,0.70245737,0.8340062,0.4948534,0.54901373,0.34496152,0.2293883,0.45022473,0.5539625,0.62557745,0.31100845,0.20588657,0.5740222,0.59347117,0.13861936,0.2909484,0.26942435,0.6769774,0.35883972,0.33227822,0.4400846,0.35633117,0.4221004,0.32995725,0.67973846,0.37309146,0.87531304,0.47207302,0.6669015,0.38923725,0.57390463,0.7858448,0.1984686,0.44038555,0.514831,0.23184402,0.5331497,0.54306996,0.63746285,0.728692,0.8706092,0.41463763,0.7330402,0.34620002,0.5975157,0.60772693,0.41402572,0.20781809,0.3965801,0.3313226,0.31416675,0.8739786,0.69877464,0.6156981,0.32717526,0.5996913,0.39234266,0.39059854,0.6769589,0.4625757,0.41503817,0.6069742,0.36957645,0.7409511,0.26265714,0.706408,0.7320025,0.21990159,0.7192743,0.6326693,0.3734005,0.58401144,0.68343353,0.72011495,0.84355843,0.40827942,0.67972517,0.41135967,0.6976107
A2-A04T,0.7821443,0.7000943,0.3038876,0.849044,0.26603827,0.34278738,0.76831853,0.63196576,0.88030475,0.82094526,0.17817451,0.7038361,0.7672553,0.31930178,0.13158321,0.66180354,0.82410717,0.5663851,0.3698547,0.3323432,0.48426825,0.373893,0.44794205,0.7649302,0.84703666,0.80606824,0.4835841,0.21353963,0.39707118,0.20485286,0.8229141,0.19052091,0.2756687,0.5468923,0.17109497,0.20499742,0.44564056,0.7655064,0.60100144,0.6752286,0.31844148,0.37409025,0.3175448,0.28410515,0.82197505,0.79955876,0.9112613,0.70564234,0.29902157,0.73902,0.54501426,0.6040565,0.73287725,0.28811628,0.30002257,0.6079618,0.21602711,0.3732553,0.302877,0.85265356,0.8371885,0.38845342,0.28868872,0.1665709,0.51640224,0.82789886,0.7718724,0.72189236,0.15750903,0.1858186,0.30367306,0.26983735,0.4362678,0.40399852,0.7671249,0.44720745,0.76509047,0.4458077,0.25028718,0.78227204,0.771279,0.67308915,0.7806102,0.12096241,0.79984826,0.749807,0.5121982,0.8047477,0.25085706,0.79722154,0.76227736,0.25832728,0.5762638,0.7182089,0.90236485,0.6090904,0.23881648,0.74267477,0.20615068,0.85566723
A2-A04W,0.4183633,0.68934035,0.50139534,0.3970062,0.59239465,0.64824086,0.43102914,0.21694252,0.07833139,0.06919108,0.60147417,0.5614831,0.7257974,0.7723021,0.6478673,0.4424398,0.5344794,0.8110684,0.37158823,0.36851564,0.71721596,0.25736666,0.6327058,0.4886747,0.89779216,0.85144764,0.65331525,0.5130386,0.31164223,0.31508845,0.4564823,0.52177125,0.23564607,0.16214867,0.7941936,0.5907828,0.38798767,0.32504869,0.7989109,0.64761305,0.660254,0.66296464,0.6396308,0.25040248,0.8609647,0.5147129,0.42649955,0.6911991,0.46760657,0.65216947,0.50882626,0.7454187,0.45794737,0.64423627,0.31436855,0.84697974,0.6069672,0.65218604,0.39004746,0.27649248,0.5712861,0.64893246,0.52189976,0.50140274,0.71496385,0.41833508,0.20274588,0.4334479,0.2308685,0.42236522,0.7899494,0.37194002,0.79513276,0.55950916,0.66844916,0.874055,0.8904561,0.34068793,0.29954314,0.72190964,0.1752845,0.6068464,0.85057545,0.65132606,0.82779133,0.1743029,0.5607152,0.7664662,0.5845988,0.35032633,0.8919327,0.5093777,0.48282367,0.23104249,0.36658353,0.25476247,0.7824649,0.38631445,0.29974028,0.7992706
