,A1-A0SQ,A2-A04N,A2-A04Q,A2-A04T,A2-A0CM,A2-A0CS,A2-A0EU,A2-A0EX,A2-A0T6,A7-A0CH,A7-A0DA,A8-A08O,A8-A08P,AC-A2FB,AN-A0FV,AO-A0JM,AO-A1KR,AR-A1AQ,AR-A24Q,AR-A24Z,AR-A250,B6-A0IO,B6-A0RG,B6-A0RH,B6-A0RN,B6-A0RO,B6-A0RU,B6-A0RV,B6-A0X1,BH-A0B7,BH-A0BT,BH-A0DP,BH-A0DT,BH-A0GY,BH-A0RX,BH-A18M,BH-A1EO,BH-A1EY,BH-A1FH,BH-A1FL,BH-A1FM,C8-A12Z,C8-A134,C8-A137,C8-A1HG,C8-A1HL,C8-A274,C8-A278,C8-A27A,C8-A3M7,D8-A143,D8-A145,D8-A1JF,D8-A1JL,D8-A1JS,D8-A1X6,D8-A1X9,D8-A1XB,D8-A1XG,D8-A1XT,D8-A27H,E2-A14N,E2-A14Q,E2-A14X,E2-A156,E2-A1BD,E2-A1IU,E2-A1LK,E9-A1N5,E9-A1NA,E9-A1R7,E9-A1RB,E9-A1RE,E9-A1RI,EW-A1P3,EW-A2FW,GM-A2D9
A1-A0SQ,0.5735602804716395,0.012622226987926016,0.011563679723339472,0.010011120952387625,0.010500366636014141,0.013483442612653083,0.012755772906633371,0.012547983956227807,0.012678564134735192,0.013520625371442305,0.010756328927804034,0.012350683663728596,0.011134282364930066,0.012273815170640644,0.01113501949846419,0.012119252775780494,0.010411786270101343,0.010276029633178644,0.010527717267069683,0.013592688452741317,0.011961910815064739,0.013307209941450501,0.01270341149692717,0.011672516239412647,0.012628241445349762,0.012924021614743056,0.01098357091947379,0.012564175352300703,0.010137246983275698,0.011456577996527002,0.012197756051466342,0.012635803832643497,0.01306522147882375,0.013187240588872697,0.011773827888681834,0.012657871290748706,0.012050891317464157,0.011618513168825331,0.01196791321869881,0.013138867261325043,0.012859745452042631,0.011182591875841093,0.010176406138731818,0.011212617751591734,0.01187997939744715,0.012545342222363084,0.012535981146319009,0.010809282667788203,0.011752706330666265,0.012354100370891234,0.010256563465921804,0.012714402789129414,0.011219295502089032,0.010126708701537816,0.014670723179620213,0.013237103056381594,0.013657795534936068,0.01268200114122777,0.014310556883899546,0.01110714951424142,0.01053358255866681,0.010485871960617418,0.01563551721081151,0.010901382737088777,0.014006237281131484,0.013650295694159603,0.01336862940721844,0.010648416140062563,0.013604912434672845,0.011885198584445814,0.01245466524139743,0.011628918501192886,0.013578058246439794,0.01319305183319354,0.012736131592413952,0.01590387447145567,0.014267609265552896
A2-A04N,0.012622226987926016,0.5580784207157146,0.012882978746791104,0.010178237228551025,0.010600702533044893,0.01494291187180456,0.014781435899060905,0.014589808886882893,0.014692809442558248,0.01466023040133381,0.01129924651638027,0.01385469984149371,0.011718008917200203,0.014063562677461198,0.011037316238788748,0.011889033934266685,0.010571365126397439,0.010575182525989917,0.011126603399730388,0.01170545924935018,0.01230503471311968,0.013484462992520665,0.013172509101990078,0.0129556447955663,0.015008971339498179,0.012732681195853236,0.010634131479630118,0.014214028617703964,0.010175024555395712,0.011943670702409545,0.01370762318188155,0.0148854779548224,0.015323641052587322,0.012506805625987414,0.013165314372051632,0.014650332742033995,0.01423830188677098,0.01248933456162872,0.01324883358508484,0.014552667419344065,0.01169208075836737,0.011207989270648684,0.010852437589146707,0.011474246108855795,0.011174694300031481,0.011649940870741116,0.013401730680343869,0.010816828669237945,0.011287666874430755,0.014227023563616832,0.010459618824873304,0.0140776694826102,0.011500087901329867,0.01027904587227994,0.013552966997013503,0.013749600868389313,0.011837952745648462,0.01441881510464452,0.013679845162354994,0.010982864333576297,0.011366339690144242,0.010942926254562698,0.013582775161112474,0.011583891974873278,0.013766505099191247,0.014584642550651773,0.014861010396700298,0.010523025365705912,0.014035179199508254,0.011721802517556165,0.012196347450383449,0.01132925403877915,0.012455548287131885,0.013903061993074277,0.0146841056043381,0.012281556739308253,0.013615746319347668
A2-A04Q,0.011563679723339472,0.012882978746791104,0.5628254455545755,0.01256046866199068,0.012950425762158685,0.01280951098034671,0.01308168067907895,0.012640439864970815,0.0129799822422102,0.012749406575035016,0.012317786009721584,0.011845394480901536,0.012263850426422872,0.0157391151504741,0.011087053292935207,0.012712719044882392,0.012346664208207937,0.013267991913181211,0.012607353958252816,0.011134557019952033,0.011618512551791357,0.011560999935532324,0.011752208517611568,0.012533610624893565,0.013777107518098965,0.01163163415308505,0.012116030034244779,0.012715322582532216,0.012380817710692004,0.012299737911789729,0.012619177928854934,0.013337434456967875,0.012825636928104775,0.01182144729783618,0.016929995351396644,0.012102114884501237,0.012230499391649982,0.011940996633299457,0.014645956450139604,0.012226654642002266,0.011201647034676746,0.011290467587742627,0.012662909469529282,0.01140240364256287,0.012181645824848604,0.011252626361762254,0.011840211768899652,0.012175025244583361,0.010998930913024316,0.014235703535825373,0.012296806098525362,0.012855670118315675,0.011230758801291565,0.012486986514569786,0.012433083593727997,0.012362562621179943,0.011235823868543248,0.012208802559230812,0.012429467977906294,0.011268937627293484,0.01187979769513673,0.01340780340964242,0.011920093125512746,0.014003998214610996,0.012241451719977463,0.01260468095399746,0.012975651460585182,0.012353532089380628,0.012370518470661344,0.01146242151588032,0.01129177256128678,0.01173740255704657,0.011343112957184431,0.012223612222040915,0.013679008130862718,0.011422014226763321,0.011787046650909162
A2-A04T,0.010011120952387625,0.010178237228551025,0.01256046866199068,0.5787572768102686,0.016777374098424738,0.010075123727587173,0.010060494943138563,0.010212385040882208,0.009968003461172669,0.00999914309375619,0.01588096491313911,0.010204511818850404,0.012834752539667288,0.010511656462319129,0.011513956462774937,0.011327280864122354,0.015856405808210728,0.01745170209865591,0.014926235035294798,0.010465335135362597,0.010692420818978372,0.0100355707741593,0.010655989741927444,0.011103295472083946,0.010084629614653324,0.010137511197350096,0.01733308151592871,0.010282070938598733,0.017818836911922202,0.011342634810134,0.010733285250434505,0.01006368722540505,0.00995864784791976,0.010850295177852168,0.012100436120156108,0.009890190507390439,0.01038746251411219,0.010958474519360212,0.010573026603446358,0.010075528575570824,0.01049389094693286,0.012297180958592512,0.017024381837315555,0.011770921809105854,0.012728854110464073,0.010695516396437467,0.010276483295474658,0.013423401797673179,0.011652047848462811,0.010216547154293307,0.016152983224331164,0.00991653004771556,0.011806310640060437,0.01756584074359596,0.010042337788085694,0.010452970866808764,0.01063068051157031,0.01010474977978883,0.010068209433011767,0.012701921647752837,0.014361278614435858,0.016765098504300455,0.009970510614937138,0.015122217947356735,0.009910195127539,0.009951786677906214,0.009917052194000946,0.01676844810108076,0.010045629454873724,0.01140110640093859,0.010449180106304549,0.013309426003764608,0.010379741011443608,0.009979324938226092,0.010121222331209725,0.010417135601391295,0.009941430573054024
A2-A0CM,0.010500366636014141,0.010600702533044893,0.012950425762158685,0.016777374098424738,0.5742679565889615,0.010497005575718718,0.01045232699617798,0.01058589585034701,0.0103695100225017,0.010417177717702139,0.015685656606892293,0.010576383006467247,0.013496720609372268,0.010887101605023817,0.011664383434514553,0.011616258695894404,0.01487513945011361,0.017148333756590306,0.01450142069518235,0.010704085878427935,0.011330067952907686,0.010516676028240843,0.010942008422263647,0.011310304059907225,0.01046389432007732,0.010924440525485805,0.014995734482612391,0.010630158423190192,0.0167817759953246,0.011475152916041186,0.011922561402217091,0.010441343566255295,0.010464508680381304,0.011633554718760077,0.012374171813697956,0.010297105542861888,0.010731482269789903,0.011377972544079039,0.010838321532889085,0.010759454561212372,0.010742633943968554,0.012427180843728925,0.016301888015713105,0.01220292566482814,0.012462378587816882,0.01089129617179318,0.010943078754744616,0.013929070910235233,0.011127813134412586,0.010575400227457312,0.014494075452788639,0.010476223264568658,0.011634776107650784,0.01566228605712474,0.010373220632233459,0.010732045821642883,0.011227539027326722,0.010526908693077004,0.010484390467473948,0.013066831585561508,0.014004338284713124,0.016055027967098484,0.010310234808484966,0.015116797364563884,0.010285415475902834,0.01034545389211166,0.010318561596712942,0.0157302737453628,0.010446202253554103,0.011687643814497758,0.010934375379965172,0.01313431830677481,0.010904900690151561,0.010480421061929016,0.010499117546249936,0.01103314393037099,0.010277368329868843
A2-A0CS,0.013483442612653083,0.01494291187180456,0.01280951098034671,0.010075123727587173,0.010497005575718718,0.5590697264060196,0.01412063026041364,0.013790801169072369,0.014376555289095923,0.015523266868140586,0.011190547684080938,0.01290548753801958,0.011130882274286687,0.01383647657775936,0.01128995531329094,0.012371934428297308,0.010603099751410085,0.010473455945983388,0.010795956028539451,0.011990368358167214,0.011930574142063567,0.0135155074069544,0.012918698657836798,0.01306341864844936,0.014492451117620108,0.013780584296782035,0.010493855790524441,0.013140323515539593,0.010050025023445647,0.011821811578465175,0.01344142039415719,0.014608062414553336,0.015220760700271105,0.012166250713853617,0.013179172291701634,0.013797743480490027,0.013081602620322971,0.012341647408458466,0.012966879090860344,0.013328150765204952,0.01225566070497693,0.011278877132458835,0.010381930233592289,0.01136491918364975,0.011378881958759616,0.01233652014959274,0.01336316156931339,0.010827432831734839,0.011372289001674482,0.013689034952282852,0.010421135336481757,0.01391220317773836,0.011366243877268593,0.010190645724725944,0.014595840048526869,0.013645682701885454,0.012006755837193815,0.014306641498833591,0.01396895839378641,0.010885236887813812,0.010795771589858224,0.010901646085432686,0.014431526313384836,0.011416394416121535,0.014217269686711744,0.015366484786982583,0.014090656662521059,0.010341584713370693,0.014085709969198635,0.01199387153476612,0.012439231554371441,0.011968273931431947,0.012806590378371646,0.014131776331748724,0.014589743371809835,0.012973926170040116,0.014207913432285887
A2-A0EU,0.012755772906633371,0.014781435899060905,0.01308168067907895,0.010060494943138563,0.01045232699617798,0.01412063026041364,0.5615917936288005,0.014111131642652479,0.014512445810894652,0.014322638526900407,0.010676830275323918,0.013905873319374599,0.011366824185657211,0.014260463561194738,0.011088680606565482,0.013020324485742887,0.010479448660546724,0.010472658880864148,0.010774196094172987,0.012074105685213658,0.012810463111186247,0.013196387954563177,0.013112910445255262,0.012356556468313629,0.014703102516738332,0.012798706143016775,0.010502757986327958,0.013611566190092236,0.010030193527129421,0.011902961120347775,0.013508913317306248,0.015147320040704454,0.014332451733436929,0.013945684243648275,0.013483075169472345,0.013895417875793518,0.013466755513590204,0.012099049812506726,0.013468215968751883,0.013777487667665737,0.011938680774674134,0.011242036598237404,0.010369377252180591,0.011427092407481186,0.011476571758976001,0.011825529552246819,0.012899626841449635,0.010860244777840075,0.011569255872854269,0.01413863020409765,0.010415137573626016,0.014059474178269037,0.011362799515964639,0.0101792887498704,0.013516765831108246,0.013910938499392792,0.012379989723151463,0.013552281093400214,0.013644522652214976,0.010971940271426317,0.010659514864029829,0.010886923187365956,0.01338664450901414,0.011574179550545374,0.013961070099497964,0.013897806892729287,0.014685056378902557,0.010323898995096,0.013550576465299653,0.011673913428470163,0.012139123424434165,0.011854383462054675,0.013093861485827897,0.013746720825480334,0.01487390084886838,0.012727820702412587,0.012915250009186748
A2-A0EX,0.012547983956227807,0.014589808886882893,0.012640439864970815,0.010212385040882208,0.01058589585034701,0.013790801169072369,0.014111131642652479,0.5640247720516525,0.014243859763070587,0.013474589553997437,0.010862593407390115,0.013716964940033754,0.011329814462667816,0.01397135548966787,0.011396237800711669,0.01274504764202602,0.010661722298756258,0.010506473519387306,0.011545515952560655,0.011599692925823142,0.012665322668197155,0.012809572754069918,0.013144363739073534,0.01309810182047821,0.015026417463337476,0.012969260294913666,0.010825199983431778,0.014823037410023476,0.01016786376899612,0.012467550849580445,0.01434604813753244,0.014704073254480202,0.014106784446602223,0.013252279413646942,0.01305298913272155,0.014188875206568963,0.014028183841340951,0.012630973367219214,0.013704053861122558,0.014359730591866043,0.011767994989799396,0.011891701325188164,0.011043617856235238,0.012187654179805565,0.011331557845859031,0.011599045001826173,0.013359247405445269,0.01113709391662926,0.011272919242750572,0.013922944044453971,0.010449735031052097,0.013495582839201327,0.011681032148183779,0.010418373086617595,0.012901243253441524,0.013150307103231087,0.011783393893773694,0.013574515838611353,0.012961340233652995,0.011237950974008853,0.011109705247266826,0.010761814192923307,0.013340175631433198,0.011561697070913542,0.013044147552559934,0.013320655456881667,0.014473225178739002,0.010413889667091277,0.012936966017157383,0.011795516488377962,0.012504883801553637,0.011396934433231993,0.012254588751484788,0.013692514204690042,0.013918920659375989,0.012040357282653593,0.012912672264950058
A2-A0T6,0.012678564134735192,0.014692809442558248,0.0129799822422102,0.009968003461172669,0.0103695100225017,0.014376555289095923,0.014512445810894652,0.014243859763070587,0.560473985432059,0.014627347679261282,0.010681728088241771,0.013576446608382977,0.011136335636106914,0.014775057943662476,0.010986873049777962,0.011983740415464229,0.010381338037971179,0.010387205864325486,0.010822498907187856,0.011818265844561181,0.012531786108534507,0.013086438053336327,0.012195860013399866,0.012134343862329387,0.014521379386706775,0.013305797080813102,0.010500720397146116,0.013724515223714127,0.009933058916679848,0.01246517762769852,0.012724927856780147,0.015341308339153835,0.015310982007141153,0.01372283325383973,0.013286756499147259,0.015551479465418053,0.014198476438315847,0.012482496310318274,0.014166129172062121,0.013698132487832464,0.011840039223251423,0.01115548685922584,0.010329426164991926,0.011262506904395456,0.011117214213280862,0.011661433551251484,0.013590323743701772,0.010802346173632845,0.011285852634987655,0.014143404928335494,0.010331783560161208,0.016762869661194855,0.011378050417601045,0.010172436588284497,0.013458426731245738,0.013342444241439313,0.012332155361747359,0.014651179744463262,0.01383892470373643,0.011185048682185447,0.010780048064295545,0.010789665226073358,0.013524420028029241,0.011481503207632516,0.013641408937947158,0.013993156276858099,0.014688942880343961,0.010223787339419083,0.0140640563547748,0.01167505835499891,0.012343220148338635,0.011326422154946409,0.012328709166052268,0.0144888017844771,0.014106255477972491,0.012168005257550185,0.013226777249324945
A7-A0CH,0.013520625371442305,0.01466023040133381,0.012749406575035016,0.00999914309375619,0.010417177717702139,0.015523266868140586,0.014322638526900407,0.013474589553997437,0.014627347679261282,0.5585689462799409,0.010998992037165534,0.013525769749946197,0.011049284376508973,0.01391315125442879,0.011084388119222887,0.011784697034854623,0.010426027933527062,0.010426095325673741,0.01067099939066837,0.013022148757506184,0.012003058649922703,0.012927586343098835,0.012135341067153716,0.012080484323660786,0.014641249009391764,0.012907023763464658,0.010437016451905742,0.013535291539374338,0.009973691403765344,0.011812608833131372,0.012684410087033485,0.014673376309864055,0.015617050993505011,0.012069733120929866,0.01307033961027041,0.01395860537962604,0.013001432211496987,0.012080014750247616,0.013059892850592272,0.014033034180752819,0.012164560426121032,0.011291438529824005,0.01026373847736025,0.011223094362765508,0.011162948920340067,0.011922471072434326,0.013799738853639032,0.01071154874193325,0.011573261075003612,0.013730835558640114,0.010346695438628668,0.014236626931281627,0.011303341998888997,0.010138388264195091,0.014516942948232458,0.014053733225927305,0.012579609142986212,0.01488673629252154,0.015210289545111253,0.010903031675319006,0.010693034286208873,0.010848347794307999,0.014666025727013664,0.01136101378063119,0.015506843802001201,0.015278710852385071,0.014666823246116267,0.010215700265618438,0.014561869716752447,0.012234612152887351,0.012839196885173407,0.012095585528753176,0.012598544576308997,0.01438027522839819,0.014099323596240564,0.012729360373102103,0.013898003004893519
