Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SQ,0.2704528,0.7561606,0.8322842,0.33487114,0.5155504,0.527007,0.28282493,0.88106126,0.9157419,0.28154188,0.38444614,0.6424427,0.38794082,0.79636616,0.52481055,0.22597525,0.2590894,0.5036847,0.55039746,0.6169428,0.39209235,0.49001914,0.27465177,0.14091787,0.5637636,0.6686306,0.5243206,0.79709214,0.70384073,0.7727175,0.80626494,0.7918377,0.64367855,0.67977494,0.74516284,0.61502373,0.48814094,0.44205606,0.5725913,0.5568753,0.17933503,0.70750374,0.61044234,0.63880914,0.3881781,0.34059423,0.5572058,0.53018653,0.6337636,0.24111018,0.5747997,0.37058094,0.23083049,0.4985283,0.7207973,0.29620832,0.72756785,0.4517674,0.6199006,0.5620367,0.5631578,0.5073314,0.68610257,0.30506283,0.7106748,0.7119396,0.23670289,0.35810232,0.6587556,0.7485657,0.8634269,0.35513216,0.49192572,0.7194393,0.75981706,0.43583882,0.32042792,0.7824572,0.7625129,0.5219586,0.6120889,0.41571444,0.45371154,0.59309137,0.3563881,0.549564,0.7059547,0.6247066,0.7614011,0.52319866,0.54594964,0.5680534,0.41111583,0.4051683,0.32853466,0.36013496,0.7316198,0.46985146,0.6754269,0.23911195
A2-A04N,0.5920557,0.6129797,0.76321125,0.4664211,0.4920393,0.6245408,0.42443204,0.39658833,0.20940468,0.49232608,0.8123636,0.29798755,0.44100326,0.7780922,0.6752587,0.5212207,0.6973115,0.38611513,0.650409,0.6473358,0.73257214,0.7778665,0.4143933,0.81026614,0.49036384,0.585763,0.8069556,0.80878323,0.60645574,0.6154214,0.1785407,0.6268573,0.2937221,0.29582995,0.58274925,0.46091804,0.8828124,0.79313284,0.56634736,0.66171366,0.6048464,0.6285088,0.7844764,0.7510261,0.4137129,0.6847742,0.24843615,0.41515338,0.7579465,0.58677316,0.73756474,0.79064137,0.48982877,0.7563995,0.45824942,0.5170524,0.38399506,0.5305029,0.56167626,0.74482113,0.40131944,0.7685485,0.6133039,0.6063187,0.427842,0.24551196,0.75420904,0.49084955,0.69651306,0.25871307,0.5518663,0.45950854,0.40339983,0.46147752,0.42613566,0.29500338,0.5418501,0.73026055,0.64009905,0.77464205,0.22426829,0.6225378,0.60392606,0.50627035,0.42004156,0.3461516,0.76396936,0.36697653,0.5043625,0.5052718,0.42363137,0.56758845,0.6197762,0.390682,0.34753472,0.18236357,0.7539388,0.5948526,0.72812754,0.46915793
A2-A04Q,0.5943935,0.7940841,0.7654443,0.55645305,0.57837385,0.593326,0.6591612,0.7310391,0.6522008,0.38630128,0.44254678,0.7879137,0.60651404,0.5441289,0.32717562,0.7099335,0.7138427,0.48007944,0.581641,0.44871742,0.81092954,0.6507834,0.63755894,0.7399785,0.43790424,0.47472638,0.3450787,0.29920235,0.45714474,0.50211,0.6459827,0.3362973,0.26515263,0.53406227,0.61911553,0.1940159,0.32784784,0.36135,0.68107903,0.404309,0.34628406,0.44847214,0.33288962,0.47233373,0.37421972,0.7161968,0.35392517,0.85881746,0.4912101,0.6529515,0.46263906,0.6060644,0.7496017,0.2534945,0.43974048,0.4809554,0.26592633,0.49353212,0.59312457,0.6434597,0.6920333,0.84370136,0.4200452,0.71438146,0.37079632,0.560403,0.5280501,0.44875968,0.29756218,0.45900264,0.41176486,0.32860202,0.8480766,0.7014813,0.64841586,0.35638332,0.6784197,0.4100818,0.38575032,0.7529332,0.44579902,0.42527097,0.57895786,0.47637266,0.7387906,0.30004728,0.64585114,0.700191,0.22149365,0.71081436,0.62717754,0.42850825,0.561756,0.724855,0.6677327,0.796891,0.43411857,0.7410128,0.40729773,0.7125816
A2-A04T,0.77850765,0.67890096,0.3759903,0.84873873,0.42059717,0.3408168,0.72594154,0.7389604,0.8968924,0.77343327,0.14994177,0.7046844,0.75915825,0.31496716,0.18538088,0.60015625,0.81246316,0.5785939,0.37015593,0.37561134,0.4541481,0.52965367,0.45810342,0.7397897,0.7851221,0.7243498,0.4343061,0.29137942,0.40194947,0.17658463,0.81341815,0.19248572,0.29449427,0.52953494,0.2507935,0.15383664,0.5086156,0.7670803,0.71181554,0.7477672,0.34698212,0.5027188,0.34218663,0.35472035,0.82813114,0.80743814,0.8862456,0.72522926,0.37320024,0.7457547,0.5524441,0.63159966,0.6997527,0.3678896,0.36133742,0.60077846,0.31415552,0.28823495,0.39857858,0.86011595,0.8015102,0.49258932,0.31984314,0.15310839,0.57351184,0.8376132,0.6484537,0.6928652,0.24907327,0.21541245,0.34225458,0.23356225,0.43362823,0.41733336,0.7895781,0.36774528,0.79152966,0.48062027,0.28914785,0.7938937,0.7762807,0.7743317,0.7948134,0.23202601,0.78479445,0.7130008,0.46460214,0.8455746,0.2771836,0.8446219,0.73862123,0.27548715,0.5020071,0.7442052,0.888075,0.5834714,0.2953548,0.8218568,0.2072764,0.8413353
A2-A0CM,0.6116687,0.8622871,0.59207016,0.7157505,0.43043074,0.6497649,0.6887811,0.46561214,0.8231554,0.71914333,0.5064095,0.9208046,0.6544903,0.30858204,0.37604183,0.57135034,0.8713658,0.5722351,0.33543378,0.33091676,0.71174574,0.6386431,0.38566732,0.90742135,0.744527,0.5668728,0.40767786,0.18790223,0.56232786,0.38106215,0.6922749,0.25049376,0.35622132,0.4386995,0.58404726,0.32015896,0.4498716,0.6693357,0.6096005,0.5357439,0.53678143,0.6256345,0.29158276,0.2382742,0.7076177,0.76104796,0.775522,0.67773885,0.52899206,0.7001778,0.547299,0.6920574,0.6402951,0.24788293,0.16600974,0.72490585,0.5331528,0.4643494,0.36124152,0.73470324,0.77581364,0.6479922,0.31372297,0.61512554,0.33221114,0.6440156,0.7348528,0.77529615,0.40991724,0.33562908,0.39577547,0.35047698,0.6803498,0.52128905,0.79163903,0.4413219,0.73909765,0.23020741,0.22969632,0.8360791,0.66228336,0.5553859,0.7931108,0.3802043,0.7190536,0.6071421,0.4862267,0.627252,0.2440182,0.7573446,0.65485287,0.4155959,0.45983982,0.83597374,0.840275,0.81818354,0.3582232,0.8474263,0.33270463,0.6373664
A2-A0CS,0.7138077,0.3147001,0.8434627,0.5444398,0.7928129,0.5726682,0.24384761,0.7037352,0.36588913,0.30625114,0.7054915,0.59768754,0.388098,0.80750215,0.5814103,0.30756915,0.5395008,0.6973899,0.6361637,0.6623039,0.8519073,0.6170382,0.5596372,0.32563883,0.5662639,0.4846142,0.7124864,0.5265761,0.19852428,0.66859084,0.18922462,0.60105467,0.38279492,0.2930205,0.8608775,0.5990716,0.78934205,0.6967331,0.600134,0.68025213,0.59774727,0.65658087,0.3506282,0.7506153,0.5632102,0.45324656,0.23088017,0.47661507,0.66103697,0.7493531,0.62904054,0.46419486,0.58421457,0.8749373,0.49587244,0.6199842,0.76644945,0.19718727,0.6777454,0.62001765,0.46040267,0.366933,0.6907687,0.53831375,0.7918435,0.19325854,0.2553771,0.25558913,0.74502856,0.29112658,0.71778375,0.45226258,0.55475664,0.5828943,0.5843835,0.5811635,0.45346516,0.7423576,0.54561865,0.8377421,0.26536915,0.68792206,0.35002127,0.6132312,0.25060272,0.5751523,0.5331608,0.25833404,0.67680836,0.69832313,0.39022225,0.58977795,0.64748496,0.22091702,0.23526898,0.27666003,0.74427336,0.6775556,0.82076305,0.20848897
A2-A0EU,0.61590266,0.55155593,0.55416477,0.53105086,0.30307537,0.84427625,0.42539155,0.52855736,0.6447284,0.57869464,0.85197234,0.45226064,0.48077595,0.46401083,0.72583693,0.7066783,0.5664448,0.43552235,0.5879089,0.7483081,0.48878676,0.56251675,0.64026684,0.45680624,0.5193829,0.4484569,0.7627701,0.8232504,0.8234571,0.5820256,0.36476278,0.83528787,0.63180786,0.5709566,0.5039262,0.87864965,0.6837009,0.63882446,0.15558311,0.7508756,0.23755667,0.4997595,0.8735368,0.68104744,0.49281245,0.83125794,0.6120115,0.4674831,0.5845754,0.27589405,0.73505306,0.67948264,0.37233806,0.594484,0.7605839,0.55640185,0.24247919,0.671111,0.4856798,0.7737192,0.43919677,0.56865233,0.7492449,0.6388679,0.40303123,0.31585205,0.8828988,0.5793191,0.61257565,0.65130556,0.5239902,0.6934462,0.4745087,0.44425744,0.4755556,0.33363888,0.1963338,0.63116014,0.76908803,0.51082736,0.47882396,0.35481963,0.34363538,0.59186697,0.39744276,0.31879357,0.45697337,0.347958,0.65526915,0.61339426,0.490267,0.54485846,0.5957148,0.5574224,0.45393127,0.25516278,0.7401651,0.24516521,0.693906,0.5341076
A2-A0EX,0.36905074,0.6638419,0.6442846,0.37053093,0.47551376,0.5193718,0.6377225,0.45952022,0.33715016,0.5781548,0.6992756,0.32003808,0.6736937,0.7353561,0.78537154,0.7259191,0.6815067,0.5999578,0.566662,0.5111592,0.7156497,0.6374178,0.7545046,0.62003654,0.3456438,0.43644214,0.7574097,0.78199667,0.54848695,0.71138966,0.29938856,0.6350956,0.317504,0.591514,0.5481162,0.39551055,0.65555966,0.58958423,0.62977904,0.2971058,0.56095856,0.6204514,0.80463946,0.73084843,0.38777387,0.2946856,0.2597337,0.5842141,0.68801206,0.3893292,0.46829915,0.6236473,0.55852956,0.6255468,0.6190353,0.6691247,0.4539972,0.59668195,0.4174257,0.37299913,0.50230896,0.71812946,0.52741385,0.7373289,0.4392366,0.34399414,0.2963085,0.38743794,0.631328,0.43815905,0.47354805,0.47784567,0.6168083,0.44670182,0.432624,0.47872105,0.40854907,0.7489177,0.71371657,0.5708079,0.3158681,0.6820721,0.4657765,0.4457258,0.7474929,0.42499667,0.73340297,0.4981493,0.5823176,0.3736485,0.6152531,0.35900983,0.45226485,0.3855273,0.33792192,0.37704447,0.574076,0.49589399,0.6076744,0.57322425
A2-A0T6,0.44070488,0.44537926,0.5954963,0.54981357,0.5139037,0.2921514,0.79268295,0.31584352,0.14437872,0.49968004,0.6484238,0.35838455,0.52810526,0.69589156,0.91882443,0.5811869,0.6858934,0.17691733,0.7014769,0.44160837,0.795553,0.799981,0.7218066,0.595008,0.37803984,0.3671157,0.6921974,0.8322406,0.55598,0.65012074,0.26737738,0.46906698,0.3297342,0.76692164,0.35137153,0.4120555,0.66619074,0.7983066,0.64735293,0.17810535,0.8219182,0.4359875,0.64684325,0.7585233,0.68248737,0.15713018,0.25695032,0.6029339,0.63793725,0.56037974,0.4206115,0.51913637,0.5848837,0.69341385,0.69332206,0.5990363,0.53384876,0.8853365,0.6461514,0.2765358,0.36514008,0.84109175,0.4694028,0.57416767,0.39998096,0.2874505,0.53336143,0.27736187,0.5632639,0.44485274,0.70464486,0.6944595,0.5212119,0.35080355,0.23848179,0.66974163,0.6614497,0.59761745,0.7317338,0.654269,0.67348105,0.6777805,0.40810335,0.6644606,0.5097941,0.5018709,0.592381,0.5464257,0.51672053,0.23857358,0.31684077,0.34259936,0.76369506,0.4879784,0.35230038,0.8223617,0.35498756,0.5317904,0.6644235,0.55744904
A7-A0CH,0.6748095,0.26725903,0.6944514,0.5003211,0.7208926,0.65092653,0.42121074,0.72151244,0.54299223,0.36908814,0.6860083,0.22004715,0.34668237,0.69158393,0.5953518,0.3942141,0.33358753,0.5172919,0.47143477,0.67019784,0.45545173,0.6871557,0.46661702,0.33954078,0.47339657,0.48634207,0.76060355,0.7176126,0.3819055,0.7577889,0.3624212,0.62400764,0.660856,0.6485301,0.66412044,0.79200363,0.8540986,0.6591017,0.6357339,0.44994897,0.6449528,0.72521365,0.57969916,0.65358573,0.45650426,0.39175028,0.2817861,0.43624902,0.7992213,0.62484115,0.588704,0.22128494,0.7245515,0.81999063,0.5257247,0.34717578,0.80077064,0.52348745,0.75051975,0.48077184,0.32495654,0.41028857,0.6450065,0.48190728,0.8983872,0.6100092,0.41183078,0.37762362,0.67020565,0.722827,0.7201376,0.5851548,0.25481758,0.4820569,0.5333605,0.71170825,0.7141279,0.66630256,0.67740047,0.79997814,0.5661434,0.6731654,0.36274546,0.74625397,0.19122964,0.8239035,0.65385365,0.2342771,0.59544736,0.28288573,0.34478322,0.680777,0.6610794,0.6093655,0.15571856,0.3896671,0.3372595,0.65210587,0.72123545,0.3370789
