Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.38962883,0.3782713,0.81727207,0.18587227,0.65339816,0.5232662,0.56377697,0.84451777,0.3897102,0.25396007,0.39415562,0.5986366,0.2252256,0.82518184,0.40597522,0.4849617,0.65565795,0.587986,0.68437314,0.6209837,0.6409189,0.6893889,0.43918833,0.5137919,0.5083113,0.6939326,0.6311002,0.6168439,0.45180267,0.81191576,0.44904017,0.7350805,0.32968557,0.55888927,0.6099779,0.5078811,0.74246264,0.40048575,0.6495259,0.479093,0.45711905,0.5190748,0.70764947,0.6696519,0.221014,0.24848124,0.21289104,0.8297259,0.7796193,0.59277177,0.36817387,0.7099887,0.3684373,0.41104546,0.68652844,0.18554278,0.4630815,0.4323053,0.6503139,0.8025728,0.52014065,0.7814485,0.7123509,0.6535423,0.52827734,0.3500443,0.4504351,0.3203447,0.5426714,0.35647088,0.5706653,0.279633,0.514261,0.49958372,0.5810629,0.42564726,0.4831161,0.89692616,0.7223069,0.6689389,0.28576744,0.6690736,0.28146318,0.43442872,0.7679217,0.5335202,0.84215534,0.46387792,0.48758724,0.49475443,0.7384766,0.5237454,0.42631257,0.37460196,0.2533369,0.26228315,0.59697795,0.6485759,0.5777904,0.5702417
A1-A0SJ,0.13989276,0.8571272,0.76241916,0.10348928,0.29272187,0.36252734,0.2828179,0.6407205,0.59996724,0.5863928,0.8089926,0.7043392,0.86249435,0.8048891,0.43572515,0.526464,0.47103474,0.5116717,0.7882037,0.62015826,0.452267,0.2984352,0.5475229,0.12150833,0.49874872,0.46664894,0.83136487,0.68213856,0.78235877,0.63243496,0.5371096,0.7327495,0.64172876,0.6977327,0.35463536,0.5071204,0.3967374,0.8058778,0.22704926,0.5766123,0.5642624,0.4801047,0.9392841,0.7916151,0.31390136,0.42376977,0.69138247,0.449059,0.57603604,0.17909098,0.8502222,0.86178017,0.2004171,0.582753,0.8260524,0.590989,0.3813346,0.6418621,0.2538346,0.65673673,0.53247076,0.6934042,0.6279567,0.23240136,0.2937338,0.74680996,0.47429684,0.27761644,0.6495813,0.34839258,0.6834642,0.4735607,0.6021152,0.31820142,0.49315107,0.23995034,0.32133314,0.7784149,0.84803855,0.47461703,0.25520915,0.61517787,0.5672919,0.67743146,0.6049785,0.21719071,0.49850315,0.65482545,0.44646525,0.8337898,0.47782686,0.6479841,0.32573777,0.31261808,0.7809518,0.25414944,0.6929084,0.31689304,0.40927827,0.49683666
A1-A0SK,0.9067859,0.40514246,0.04436515,0.8386003,0.11644745,0.081863746,0.96801674,0.70553213,0.5834727,0.858786,0.115019605,0.23343137,0.8381798,0.11510095,0.23395483,0.10821442,0.92631537,0.033894226,0.36274296,0.33965477,0.14426443,0.15327641,0.49174273,0.2584354,0.95678544,0.9422853,0.45253545,0.8677224,0.7140579,0.061015204,0.93298316,0.07877324,0.22683254,0.88099796,0.113629445,0.43885532,0.81012845,0.9518477,0.6984298,0.86470723,0.24243996,0.8583204,0.37174284,0.18386783,0.43958,0.7237241,0.9303135,0.22058716,0.87080395,0.3506977,0.68857324,0.15162726,0.056549273,0.36144587,0.24034074,0.06959652,0.47594464,0.18567596,0.1827182,0.851606,0.9629403,0.18214378,0.7347848,0.0792726,0.25058758,0.7191576,0.9500797,0.9420599,0.16736858,0.059976395,0.17560545,0.24358627,0.10433085,0.25197303,0.8057473,0.91153127,0.4782182,0.92670697,0.8515268,0.10671842,0.9397087,0.944931,0.88244927,0.08074158,0.9055635,0.94273746,0.40794092,0.94262964,0.91532505,0.7914097,0.45570824,0.050795514,0.2535314,0.31486738,0.8725088,0.14573848,0.58664596,0.3730842,0.08939175,0.9250544
A1-A0SO,0.8692202,0.28567058,0.08122882,0.75935614,0.18724081,0.09560898,0.79084563,0.864192,0.78444153,0.9311793,0.097003035,0.6969327,0.57125294,0.57085806,0.18142888,0.24905613,0.6915542,0.5404871,0.27747133,0.6245352,0.1279864,0.4069857,0.26313272,0.24212688,0.8586788,0.90694,0.20119292,0.3017561,0.12726045,0.2520315,0.8147648,0.24970491,0.727643,0.6375902,0.091300905,0.82718146,0.19077043,0.92460036,0.50131446,0.5309433,0.39202112,0.7631425,0.75981045,0.11804922,0.9051348,0.6455096,0.90435696,0.3805256,0.4165511,0.18969673,0.29549557,0.42910397,0.71159226,0.351784,0.40512514,0.7164298,0.5917877,0.17169571,0.25392753,0.61943966,0.8815855,0.13757904,0.5314134,0.2702701,0.5320285,0.91483164,0.58462423,0.8099044,0.412442,0.37264496,0.19482759,0.31067765,0.14734004,0.24639323,0.7754324,0.45478836,0.7639862,0.81991464,0.43757576,0.22382331,0.93768,0.90487677,0.6936184,0.17642276,0.89049834,0.8999566,0.2818452,0.86579573,0.82904494,0.50310016,0.9189712,0.11517246,0.2804488,0.4961181,0.7520852,0.39811563,0.3942564,0.87122047,0.26444033,0.82685363
A1-A0SQ,0.26362747,0.7754604,0.8630375,0.18574846,0.54631793,0.3623184,0.14770022,0.8460972,0.9262223,0.2923261,0.43749154,0.72231346,0.3849036,0.84337795,0.59594536,0.13316217,0.32397988,0.50445443,0.5653172,0.525385,0.26101518,0.5575154,0.41974252,0.07784974,0.67488873,0.6666436,0.38966355,0.7907402,0.7269733,0.78452694,0.8726112,0.7988737,0.68699485,0.6788165,0.6989031,0.62907875,0.26991594,0.48912236,0.46615642,0.44763392,0.13636185,0.71296126,0.45393223,0.5192278,0.26694423,0.25471815,0.47625822,0.5208847,0.52606833,0.12114653,0.53542894,0.28567752,0.24637583,0.49814823,0.760186,0.33242238,0.72147363,0.21161807,0.59891796,0.4857368,0.80574703,0.38625094,0.78673553,0.21830894,0.6768579,0.73492193,0.19434014,0.16732532,0.65675336,0.87453145,0.9122572,0.31808317,0.49195665,0.7153224,0.8185197,0.36709774,0.16489637,0.84868336,0.7998404,0.636947,0.47788218,0.40801308,0.4299421,0.7311988,0.26249993,0.56709856,0.8344155,0.6999562,0.77196646,0.5084287,0.5048449,0.6958239,0.28981876,0.19154277,0.39729086,0.24537304,0.8104669,0.35233942,0.6757467,0.18520206
A2-A04N,0.5726638,0.56333166,0.7300648,0.5078177,0.28689522,0.6261523,0.5591481,0.2215067,0.14264728,0.42512268,0.82821375,0.18376812,0.4203944,0.7829114,0.56241757,0.5980446,0.76632005,0.31996682,0.66885954,0.6803967,0.751099,0.8035958,0.46277454,0.85568297,0.3903381,0.5549717,0.8127952,0.8270455,0.53154206,0.5456647,0.15667573,0.5569672,0.21089354,0.2988905,0.6163074,0.39592806,0.9091397,0.7813631,0.5860735,0.56318414,0.57626843,0.5728247,0.82283735,0.7428647,0.35280454,0.6962797,0.1996395,0.37897304,0.8300319,0.4840057,0.717769,0.8361933,0.5501644,0.79538465,0.42366934,0.46065968,0.31103083,0.59709144,0.5528257,0.76229584,0.47386482,0.8031527,0.57442653,0.49687088,0.4193387,0.12888817,0.7586849,0.62682307,0.7284665,0.25987723,0.5075886,0.4668303,0.2639323,0.40855643,0.4126127,0.25553554,0.61128414,0.66333425,0.6574398,0.76261246,0.21686538,0.5963721,0.7379761,0.4354747,0.38699442,0.2737209,0.64292216,0.24052307,0.49735218,0.46511298,0.518388,0.48189637,0.60939455,0.40899608,0.21852629,0.17376839,0.8168123,0.5549159,0.7190214,0.40229884
A2-A04P,0.38619056,0.62372684,0.7093321,0.37470323,0.70524406,0.33488202,0.5574005,0.86391747,0.14117633,0.37608016,0.40494886,0.83920527,0.62373304,0.7272679,0.11900457,0.2983477,0.6743808,0.83725464,0.26648974,0.21007219,0.8524569,0.10087866,0.19938168,0.57587343,0.6537715,0.6961544,0.56374186,0.27836588,0.11439912,0.35287514,0.7381258,0.23301783,0.20836893,0.1712402,0.6054702,0.10172014,0.43926173,0.3229527,0.90552044,0.916551,0.18570302,0.5359973,0.2078132,0.596204,0.53164613,0.77621526,0.27122033,0.8316817,0.080122255,0.9062077,0.22329144,0.61711216,0.7823927,0.3777442,0.42496458,0.693497,0.18548116,0.2658121,0.4561726,0.8654793,0.7337601,0.27168566,0.26156002,0.717147,0.6589198,0.69962496,0.16021036,0.7931228,0.32727462,0.12180417,0.19046283,0.40557295,0.6106486,0.102305256,0.84863067,0.22771609,0.54699206,0.36655626,0.15444256,0.9037907,0.2987867,0.6668912,0.7680533,0.3146448,0.8513611,0.62188333,0.86506945,0.6528394,0.52305055,0.903122,0.92349714,0.53083515,0.29377738,0.4864396,0.54538995,0.1399632,0.39724365,0.9297526,0.17302355,0.9044684
A2-A04Q,0.7742394,0.855155,0.7846844,0.70395297,0.5682947,0.7427721,0.6946404,0.633764,0.70937586,0.20412341,0.49071944,0.8306808,0.7377834,0.56016046,0.14438115,0.7866136,0.73309654,0.41414398,0.50858355,0.47379473,0.8797219,0.440969,0.77987546,0.8536031,0.43154305,0.45128983,0.2514195,0.13339713,0.41946378,0.6379819,0.7176584,0.38413498,0.23451,0.5946705,0.6909,0.14673978,0.1854799,0.122177385,0.45630613,0.22300103,0.17854382,0.31093118,0.3552456,0.4287199,0.27520642,0.7358954,0.39003843,0.8809068,0.5378679,0.6328197,0.24482197,0.6482138,0.65266573,0.16180846,0.4187766,0.5741232,0.1672163,0.47384268,0.33591694,0.6489982,0.6845989,0.89633775,0.5777498,0.8316457,0.2879753,0.47772014,0.64760226,0.33102667,0.21164525,0.39683622,0.23830651,0.4053592,0.9276484,0.70240504,0.693009,0.30969518,0.5825742,0.3275022,0.35562393,0.73668706,0.3634299,0.25647876,0.5539853,0.32062426,0.81958055,0.20983036,0.79127395,0.824088,0.1715423,0.7754749,0.86499655,0.3849995,0.7051888,0.8287492,0.7034868,0.85553575,0.4975173,0.6431204,0.36568856,0.7838713
A2-A04T,0.77689934,0.5881071,0.25593013,0.67355734,0.19426703,0.2498279,0.80331355,0.66129225,0.87330353,0.7545189,0.12916934,0.52268875,0.8385284,0.36618412,0.119147584,0.6601237,0.83642507,0.45067757,0.34077036,0.39903557,0.36341578,0.49821734,0.30141932,0.7974997,0.76436514,0.65478814,0.2508312,0.19690613,0.54598105,0.32932216,0.6689129,0.25199693,0.21965861,0.56523913,0.20734736,0.16373979,0.519843,0.7401372,0.6036244,0.67996657,0.25228366,0.39570135,0.21994805,0.2280195,0.8422757,0.75661004,0.87716836,0.78976005,0.22624996,0.68561715,0.451181,0.58613944,0.7656255,0.35920635,0.48913008,0.7649938,0.27271396,0.26207864,0.25799468,0.8124221,0.7911237,0.25574392,0.2565336,0.11025857,0.5472729,0.827628,0.83050746,0.5208446,0.25196084,0.10682909,0.3375109,0.24362487,0.41297084,0.5351819,0.82483244,0.3921545,0.6566245,0.6069599,0.24023339,0.67540956,0.747843,0.5815643,0.75041246,0.19054648,0.7305749,0.7962068,0.58015054,0.8537116,0.3741297,0.86964744,0.7090531,0.22470273,0.5214977,0.49461895,0.89663476,0.36239105,0.18453789,0.811427,0.21165624,0.8501204
A2-A04W,0.33335775,0.71134454,0.5120946,0.291036,0.6449116,0.3377133,0.32694262,0.2153761,0.06429575,0.089067146,0.58402264,0.45606196,0.5965193,0.8939117,0.6086574,0.35898954,0.33229703,0.8217941,0.2665183,0.3004458,0.8072609,0.23247512,0.3540002,0.55960286,0.91897595,0.89694417,0.47515896,0.53198266,0.2489622,0.1615915,0.40314373,0.45782363,0.17000197,0.1104206,0.8747129,0.2964258,0.51285726,0.5064243,0.8806902,0.74006486,0.7162645,0.7546475,0.63311887,0.31481338,0.9390757,0.52780396,0.36436445,0.6550667,0.421369,0.72245896,0.69211036,0.7484805,0.18304992,0.7358203,0.36867297,0.86122215,0.7141988,0.6566731,0.36995444,0.39246517,0.5686089,0.6039074,0.44516027,0.4100187,0.6337045,0.22280744,0.21454448,0.35990223,0.26446086,0.38336432,0.86296165,0.40626612,0.6585452,0.5679279,0.6259401,0.9493537,0.9066968,0.34185338,0.3021411,0.88977695,0.11347376,0.67637265,0.9241427,0.6334173,0.7725286,0.18066055,0.49989688,0.5802636,0.38388145,0.3679598,0.891061,0.5546237,0.56088704,0.25764668,0.2832629,0.12531053,0.8348951,0.3872312,0.28306404,0.7227713
