,model,n_edges,cls_type,C-index,IBS,Survival Model
0,GCN,422,MLP,0.6934782608695652,0.1452123091133076,MTLR
1,GCN,422,MLP,0.6521739130434783,0.1676523272060242,DeepSurv
2,GCN,422,MLP,0.5783582089552238,0.1307283175856673,MTLR
3,GCN,422,MLP,0.5951492537313433,0.1343454256999807,DeepSurv
4,GCN,422,MLP,0.5022455089820359,0.2846943076537468,MTLR
5,GCN,422,MLP,0.6055389221556886,0.1892525830004912,DeepSurv
6,GCN,422,MLP,0.6276737967914439,0.2579932634951574,MTLR
7,GCN,422,MLP,0.6062834224598931,0.2169810268146634,DeepSurv
8,GCN,422,MLP,0.6075110456553755,0.1692907544195978,MTLR
9,GCN,422,MLP,0.5677466863033873,0.1729278958972133,DeepSurv
10,GCN,422,MLP,0.6013888888888889,0.1565619978855714,MTLR
11,GCN,422,MLP,0.6069444444444444,0.1586564062687528,DeepSurv
12,GCN,422,MLP,0.6349337748344371,0.1622151074893399,MTLR
13,GCN,422,MLP,0.5902317880794702,0.1859730741618113,DeepSurv
14,GCN,422,MLP,0.7398945518453427,0.1995116631321033,MTLR
15,GCN,422,MLP,0.5817223198594025,0.1767330119375576,DeepSurv
16,GCN,422,MLP,0.5603566529492455,0.2337383359419786,MTLR
17,GCN,422,MLP,0.5617283950617284,0.1986142660760465,DeepSurv
18,GCN,422,MLP,0.6273584905660378,0.1716635582488803,MTLR
19,GCN,422,MLP,0.6163522012578616,0.1709811565318902,DeepSurv
20,GCN,422,MLP,0.6611498257839721,0.142468006593511,MTLR
21,GCN,422,MLP,0.6001742160278746,0.1347522442107642,DeepSurv
22,GCN,422,MLP,0.5289855072463768,0.1656299517504057,MTLR
23,GCN,422,MLP,0.5507246376811594,0.2190315121184403,DeepSurv
24,GCN,422,MLP,0.5552631578947368,0.213463061320098,MTLR
25,GCN,422,MLP,0.6482456140350877,0.2332755958743185,DeepSurv
26,GCN,422,MLP,0.5979899497487438,0.2007927543008241,MTLR
27,GCN,422,MLP,0.4007537688442211,0.1918986179275147,DeepSurv
28,GCN,422,MLP,0.6646341463414634,0.1527177329579583,MTLR
29,GCN,422,MLP,0.6509146341463414,0.159096233040078,DeepSurv
30,GCN,422,MLP,0.6429699842022117,0.1575472778334663,MTLR
31,GCN,422,MLP,0.5181674565560821,0.1639766824341685,DeepSurv
32,GCN,422,MLP,0.6167400881057269,0.1809829237169222,MTLR
33,GCN,422,MLP,0.5829662261380323,0.1986929310244316,DeepSurv
34,GCN,422,MLP,0.4898697539797395,0.1962550207358266,MTLR
35,GCN,422,MLP,0.4992764109985528,0.1900811418837733,DeepSurv
36,GCN,422,MLP,0.4876847290640394,0.160780371219393,MTLR
37,GCN,422,MLP,0.7175697865353038,0.1448414288960364,DeepSurv
38,GCN,422,MLP,0.4802215189873418,0.1780443046515182,MTLR
39,GCN,422,MLP,0.492879746835443,0.2143421302124202,DeepSurv
40,GCN,422,MLP,0.6518518518518519,0.2255195451973639,MTLR
41,GCN,422,MLP,0.6493827160493827,0.255033704968467,DeepSurv
42,GCN,422,MLP,0.5847133757961783,0.1940098629381584,MTLR
43,GCN,422,MLP,0.643312101910828,0.2107145497091092,DeepSurv
44,GCN,422,MLP,0.6091417910447762,0.1586226127320701,MTLR
45,GCN,422,MLP,0.6091417910447762,0.1552182626927718,DeepSurv
46,GCN,422,MLP,0.76484375,0.1519649317214527,MTLR
47,GCN,422,MLP,0.66015625,0.1441467282655776,DeepSurv
48,GCN,422,MLP,0.3928571428571428,0.1492190676510826,MTLR
49,GCN,422,MLP,0.5892857142857143,0.1715724706256553,DeepSurv
50,GCN,422,MLP,0.654891304347826,0.1651762873882248,MTLR
51,GCN,422,MLP,0.6698369565217391,0.1749424181400124,DeepSurv
52,GCN,422,MLP,0.6147660818713451,0.1642506134066063,MTLR
53,GCN,422,MLP,0.6176900584795322,0.1511145004890781,DeepSurv
54,GCN,422,MLP,0.5018975332068312,0.1764197663895338,MTLR
55,GCN,422,MLP,0.627134724857685,0.1943002988999464,DeepSurv
56,GCN,422,MLP,0.6126943005181347,0.2114980372509859,MTLR
57,GCN,422,MLP,0.5362694300518135,0.1881521170980644,DeepSurv
58,GCN,422,MLP,0.6227106227106227,0.1743798811538839,MTLR
59,GCN,422,MLP,0.663003663003663,0.2013384134653134,DeepSurv
60,GATv2,5000,GNN,0.7369565217391304,0.1414330350132845,MTLR
61,GATv2,5000,GNN,0.7152173913043478,0.1680514947148843,DeepSurv
62,GATv2,5000,GNN,0.5401119402985075,0.1332235877809295,MTLR
63,GATv2,5000,GNN,0.5307835820895522,0.1448095835412086,DeepSurv
